0.27	0.06	-0.94	0.01	0.07	0.02	0.14	-0.46	0.69	-57.31	-169.88	170.02
0.27	0.06	-0.94	0.03	0.06	0.00	0.14	-0.46	0.69	-57.35	-169.60	169.69
0.24	0.04	-1.00	0.07	0.04	0.04	0.14	-0.44	0.69	-57.40	-169.52	169.53
0.25	0.04	-1.06	0.11	0.06	0.03	0.14	-0.44	0.69	-57.44	-169.47	169.37
0.25	0.04	-1.06	0.09	0.13	0.05	0.13	-0.45	0.71	-57.51	-169.34	169.15
0.27	0.04	-1.05	0.07	0.16	0.04	0.13	-0.45	0.71	-57.57	-169.16	168.87
0.25	0.02	-1.06	0.07	0.18	0.06	0.12	-0.44	0.70	-57.65	-169.03	168.65
0.25	0.02	-1.06	0.13	0.20	0.06	0.12	-0.44	0.70	-57.73	-168.91	168.39
0.25	0.02	-1.06	0.09	0.20	0.10	0.12	-0.43	0.70	-57.84	-168.78	168.15
0.26	0.02	-1.14	0.01	0.20	0.14	0.12	-0.43	0.70	-57.97	-168.66	167.96
0.26	0.02	-1.14	-0.19	0.24	0.24	0.11	-0.45	0.70	-58.19	-168.42	167.73
0.34	-0.05	-1.09	-0.22	0.25	0.23	0.11	-0.45	0.70	-58.43	-168.12	167.33
0.28	0.01	-1.15	-0.28	0.22	0.27	0.11	-0.45	0.70	-58.67	-167.86	167.11
0.28	0.01	-1.15	-0.22	0.25	0.28	0.11	-0.46	0.71	-58.92	-167.63	166.88
0.23	0.03	-1.14	-0.15	0.23	0.29	0.09	-0.46	0.71	-59.18	-167.48	166.76
0.21	0.06	-1.13	-0.20	0.16	0.27	0.08	-0.46	0.70	-59.38	-167.38	166.72
0.21	0.06	-1.13	-0.17	0.10	0.24	0.08	-0.46	0.70	-59.56	-167.32	166.74
0.23	0.05	-1.13	-0.05	0.05	0.22	0.08	-0.47	0.69	-59.75	-167.30	166.74
0.16	0.14	-1.10	0.04	-0.00	0.13	0.08	-0.47	0.69	-59.81	-167.39	166.93
0.16	0.14	-1.10	0.18	-0.06	0.10	0.09	-0.45	0.68	-59.83	-167.56	167.15
0.11	0.13	-1.13	0.19	-0.08	0.18	0.09	-0.45	0.68	-59.90	-167.86	167.50
0.06	0.19	-1.11	-0.33	-0.03	0.17	0.09	-0.45	0.69	-59.95	-167.92	167.87
0.06	0.19	-1.11	-0.66	-0.03	0.31	0.09	-0.45	0.69	-60.11	-167.87	168.22
0.18	0.17	-1.00	-0.36	-0.09	0.34	0.09	-0.46	0.69	-60.34	-167.71	168.33
0.17	0.15	-0.99	-0.34	-0.09	0.33	0.09	-0.46	0.69	-60.54	-167.64	168.45
0.17	0.15	-0.99	-0.29	-0.06	0.29	0.08	-0.48	0.68	-60.74	-167.54	168.53
0.05	0.20	-0.99	-0.13	-0.05	0.23	0.08	-0.48	0.68	-60.84	-167.68	168.88
0.02	0.19	-1.07	-0.08	0.00	0.27	0.09	-0.48	0.67	-60.98	-167.92	169.27
