1	0.54	-1.62	-0.62	-0.66	-4.35	8.73	259.66	0.02	0.65	-0.06
2	0.38	-1.49	-0.35	-0.63	-4.28	8.8	260.56	0.03	1.44	-0.13
3	0.53	-1.28	-0.38	-0.65	-4.28	8.78	260.2	0.05	2.66	-0.26
4	0.52	-1.31	-0.54	-0.64	-4.27	8.78	259.19	0.07	3.9	-0.39
5	0.4	-1.35	-0.63	-0.67	-4.29	8.72	259.29	0.09	5.12	-0.53
6	0.55	-1.27	-0.42	-0.63	-4.28	8.75	259.82	0.1	6.4	-0.68
7	0.67	-1.05	-0.53	-0.6	-4.34	8.7	260.68	0.11	7.6	-0.83
8	0.15	-0.75	-0.08	-0.74	-4.25	8.71	256.29	0.08	8.83	-1
9	0.16	-0.59	-0.07	-0.68	-4.27	8.84	260.32	0.02	10.11	-1.23
10	0.37	-1.09	-0.65	-0.67	-4.29	8.85	259.19	0	11.37	-1.42
11	1.52	-1.52	-0.25	-0.7	-4.28	8.77	259.39	-0.02	12.58	-1.59
12	0.56	-1.95	-1.17	-0.67	-4.26	8.79	260.07	-0.01	13.83	-1.72
13	0.32	-1.46	-0.32	-0.6	-4.29	8.78	260.71	-0.04	15.16	-1.86
14	1.9	-1.01	0.31	-0.74	-4.31	8.8	260.23	-0.11	16.34	-2.04
15	1.74	-2.33	-0.01	-0.8	-4.24	8.83	259.91	-0.13	17.47	-2.29
16	-5.95	-7.72	-6.67	-0.46	-3.52	8.86	258.98	0.13	18.82	-2.05
17	-17.32	-12.1	-10.44	-0.73	-4.92	8.43	259.63	0.53	20.95	-1.63
18	4.09	-10.57	5.58	-1.22	-5.54	7.81	258.79	0	21.91	-1.83
19	-47.55	-12.67	-12.88	1.52	-7.32	11.03	256.65	0.22	25.21	-0.47
20	-61.58	-15.19	-61.98	-0.59	-6.9	12.03	254.57	3.52	29.83	1.67
21	-70.11	-26.95	-52.12	0.33	-6.1	12	251.31	6.16	32.77	4.16
