0.62	1.02	-9.81	1.66	1.06	1.01	-20.38	14.06	41.46		 135.07	-1.16	176.59
0.51	0.92	-9.92	1.66	0.65	-1.14	-25.94	-8.04	45.90		 135.07	-4.82	166.90
0.57	1.06	-9.85	0.34	-0.81	-0.33	-1.85	2.01	38.49		 133.42	-2.23	172.11
0.55	1.04	-9.83	0.98	-0.04	-0.40	-14.82	0.00	51.82		 142.85	-3.28	173.08
0.62	1.07	-9.85	0.14	0.56	0.47	-11.12	4.02	57.74		 136.83	-2.05	174.40
0.54	1.06	-9.92	0.01	-0.78	-0.32	-25.94	0.00	48.86		 138.23	-2.88	171.54
0.62	1.09	-9.84	-1.07	-0.88	-0.66	-16.68	6.03	38.49		 137.98	-2.97	174.81
0.69	0.98	-9.81	-1.64	-1.58	4.43	-16.68	-2.01	32.57		 140.26	-4.97	170.41
0.76	1.37	-9.79	6.22	-4.07	1.45	-24.09	30.13	50.34		 135.44	-2.16	173.71
0.93	1.51	-9.33	12.08	46.05	-8.54	-18.53	28.12	31.09		 110.86	0.64	174.47
0.50	0.65	-9.81	2.01	-7.88	4.10	11.12	40.18	19.25		 73.07	4.94	176.46
0.59	1.13	-10.86	-2.08	0.45	8.76	-5.56	46.20	29.61		 73.82	-8.47	175.45
0.10	1.11	-9.71	0.09	-11.59	2.37	-5.56	6.03	23.69		 94.45	-2.66	171.52
0.95	0.94	-9.62	3.56	1.11	-2.27	1.85	30.13	32.57		 70.31	-2.90	174.39
0.13	0.37	-9.03	-6.80	7.24	-1.87	1.85	14.06	26.65		 66.90	0.76	176.81
0.86	0.79	-9.75	-4.83	-1.85	3.33	5.56	6.03	23.69		 47.04	-3.88	176.13
0.16	1.18	-9.35	2.46	13.25	5.70	-1.85	2.01	32.57		 68.32	-5.40	174.30
0.93	0.76	-9.80	5.86	-4.62	-0.19	25.94	0.00	7.40		 10.74	0.60	151.88
0.35	0.67	-10.76	8.40	8.33	3.31	3.71	36.16	13.32		 40.56	-8.32	177.87
1.30	0.20	-9.44	4.05	2.80	-4.00	14.82	20.09	10.36		 22.29	-7.68	-177.72
0.88	0.81	-9.98	-0.42	-6.20	1.82	24.09	30.13	8.88		 40.42	-4.13	176.33
1.11	0.71	-9.27	-2.74	-16.34	7.89	46.33	18.08	5.92		 -28.09	-3.79	174.72
-0.10	0.23	-10.52	2.62	9.61	-4.59	50.03	50.22	2.96		 28.76	-0.71	178.24
0.59	-0.09	-9.90	-4.27	-5.32	-1.57	42.62	54.24	8.88		 20.36	-4.15	179.21
0.47	0.55	-10.17	1.20	-0.32	3.00	37.06	12.05	19.25		 0.05	-4.63	178.42
1.38	0.38	-9.20	6.44	1.95	2.14	31.50	10.04	8.88		 3.32	-5.09	177.94
-0.08	0.19	-9.95	-6.72	9.19	2.80	53.74	10.04	20.73		 3.82	-3.18	176.38
1.41	0.46	-9.65	-0.91	-6.21	3.00	40.77	8.04	16.29		 -8.44	-6.29	179.55
0.39	0.99	-9.19	13.90	16.22	15.45	35.21	-10.04	8.88		 -9.29	-4.11	172.41
1.54	0.84	-9.81	7.41	11.97	-2.69	46.33	-10.04	23.69		 -20.47	-8.44	177.26
0.67	0.13	-9.09	2.72	-6.14	-8.50	66.71	-4.02	28.13		 -17.66	-3.48	179.64
0.85	0.66	-11.57	-11.38	-10.52	3.23	64.86	14.06	26.65		 -5.24	-6.41	178.92
1.01	0.60	-9.65	-0.18	-8.51	-4.65	72.27	-2.01	14.81		 -13.81	-4.53	176.07
0.98	0.37	-9.23	-6.15	14.31	4.68	64.86	14.06	2.96		 4.26	-5.36	177.45
1.60	0.21	-9.77	-5.47	-2.75	-0.26	48.18	60.26	16.29		 19.95	-8.61	178.91
1.02	0.70	-8.98	1.83	-7.56	2.32	57.44	18.08	8.88		 16.29	-3.37	173.83
0.65	0.37	-11.35	8.45	-13.24	-5.39	46.33	70.31	-14.81		 35.24	-4.72	177.74
0.64	0.24	-9.72	-5.23	-12.02	-1.69	72.27	46.20	-5.92		 16.31	-2.89	178.78
0.65	0.75	-8.71	-3.60	5.10	3.26	53.74	58.26	-26.65		 30.49	-0.29	177.48
0.89	0.58	-9.71	1.95	-5.55	-4.15	55.59	76.33	-13.32		 34.90	-2.14	176.57
-0.41	-0.33	-9.42	0.53	3.39	-4.12	63.00	32.14	-19.25		 14.44	-1.05	179.81
0.97	-0.09	-9.80	2.67	-0.59	9.02	68.56	34.15	-26.65		 19.76	-4.11	-179.94
-0.10	0.55	-10.04	9.87	4.92	8.28	53.74	-2.01	-17.77		 -1.83	-2.25	-179.74
-0.54	0.03	-9.94	-0.98	-2.98	-0.84	72.27	10.04	-38.49		 -4.56	0.27	177.86
0.62	0.28	-9.99	-0.93	-4.02	-1.61	75.97	30.13	-32.57		 2.43	-3.34	177.38
0.64	-0.16	-9.99	3.67	-0.42	-30.00	68.56	26.11	-32.57		 12.94	-3.70	-177.86
-0.62	-0.07	-10.34	12.69	7.97	-65.23	142.68	62.27	-29.61		 16.36	-1.54	-177.24
0.33	0.01	-10.45	-3.58	-5.23	-63.54	240.90	40.18	-19.25		 6.09	-0.87	179.44
0.41	0.27	-10.24	-9.52	-10.71	-6.52	266.84	4.02	-16.29		 -9.98	-2.59	178.51
0.55	-0.03	-9.84	-1.03	15.27	-10.50	266.84	-12.05	-7.40		 -14.04	-3.92	179.67
1.00	-0.19	-9.77	0.14	-1.49	-1.97	266.84	-4.02	-25.17		 -14.32	-5.56	-179.70
1.03	1.44	-10.88	-1.91	-9.69	8.45	266.84	-12.05	-7.40		 -15.60	-8.15	175.95
-0.06	0.80	-11.75	-9.59	-5.03	-14.21	289.07	12.05	-19.25		 -11.42	-6.98	175.59
0.75	0.43	-9.48	-0.20	-6.26	-4.74	257.57	-54.24	-29.61		 -23.07	-3.11	178.81
1.12	0.06	-10.18	-1.46	8.99	2.22	264.98	-18.08	-23.69		 -19.03	-6.67	178.23
1.48	0.57	-8.90	3.17	-6.73	-7.06	276.10	-42.18	-32.57		 -22.82	-6.64	177.70
0.08	0.27	-10.60	-9.04	-0.79	-5.04	276.10	-26.11	-17.77		 -16.62	-5.03	178.69
1.04	0.24	-9.70	-1.98	0.54	1.27	263.13	-24.11	-45.90		 -19.74	-4.85	178.70
0.16	1.18	-10.19	-4.90	-5.49	9.97	270.54	-28.12	-13.32		 -20.42	-4.57	176.60
1.82	0.86	-10.13	-0.98	-5.14	-7.27	300.19	-20.09	-39.97		 -18.76	-8.96	176.96
0.89	0.12	-9.47	9.12	-2.27	-3.53	259.43	-28.12	-31.09		 -20.01	-2.85	179.69
1.13	0.79	-8.98	-7.08	1.60	5.55	264.98	-18.08	-59.22		 -19.36	-4.61	175.91
1.41	0.41	-9.29	5.60	-0.53	-5.68	285.37	-12.05	-54.78		 -18.93	-6.23	177.23
0.06	0.08	-9.35	2.56	2.27	-6.57	263.13	-40.18	-69.59		 -20.70	-0.80	179.26
1.80	0.45	-10.19	-6.30	3.99	-2.35	264.98	-22.10	-79.95		 -19.08	-8.83	179.00
0.48	0.58	-9.87	2.95	-8.70	3.46	274.25	-28.12	-60.70		 -21.90	-2.19	176.98
-0.32	0.27	-9.69	-3.27	16.33	-1.79	279.81	-22.10	-71.07		 -18.40	0.96	178.03
0.97	-0.19	-10.16	1.41	3.39	8.98	263.13	-44.19	-75.51		 -23.44	-4.97	178.62
0.28	0.50	-9.05	7.98	-0.86	0.61	276.10	-86.38	-82.91		 -31.15	0.22	176.98
0.68	0.40	-10.20	1.95	-2.33	-8.55	277.96	-100.44	-57.74		 -32.83	-4.81	177.00
0.45	0.44	-10.45	7.51	3.32	5.46	261.28	-110.48	-68.11		 -37.40	-3.69	-179.92
0.95	0.33	-9.92	-0.51	-0.98	-5.75	268.69	-98.43	-68.11		 -33.71	-5.06	178.85
1.23	-0.43	-9.72	6.52	1.85	-8.87	266.84	-104.46	-75.51		 -35.77	-6.05	-179.01
-0.90	0.01	-11.54	12.08	6.94	-85.16	250.16	-182.80	-44.42		 -33.11	-2.31	-175.49
0.65	0.52	-9.62	4.08	-13.36	-57.36	200.13	-237.04	-60.70		 -54.34	-0.41	177.41
0.79	0.40	-9.36	4.97	8.13	-0.62	187.16	-222.98	-71.07		 -65.09	-3.17	179.10
0.74	0.20	-9.92	0.18	-1.12	-3.10	190.86	-235.03	-62.18		 -65.79	-4.28	178.71
0.70	0.16	-9.95	-0.57	-0.27	1.30	174.19	-237.04	-75.51		 -68.02	-4.06	179.15
1.62	0.26	-9.58	6.18	4.33	-0.08	196.42	-220.97	-66.62		 -68.87	-7.47	178.13
0.23	0.04	-10.78	7.39	7.68	4.06	172.33	-226.99	-74.03		 -65.85	-4.31	178.62
0.94	-0.08	-9.32	-5.34	-4.46	2.65	187.16	-243.06	-76.99		 -65.57	-3.29	-178.75
0.17	0.88	-9.29	-4.18	14.34	13.32	185.30	-237.04	-60.70		 -67.06	-2.30	176.86
1.31	0.04	-9.64	7.41	-0.72	-5.42	185.30	-277.21	-42.94		 -69.17	-8.18	178.16
0.68	0.22	-9.59	-2.28	-8.93	-7.03	192.72	-277.21	-34.05		 -68.36	-3.10	179.92
0.64	0.35	-12.33	-0.76	-15.46	-0.33	183.45	-259.13	-23.69		 -70.31	-10.05	178.03
0.90	0.62	-9.59	-0.73	-14.14	2.08	198.28	-239.05	-20.73		 -65.94	-4.43	176.26
-0.16	0.34	-9.91	-2.33	4.14	-1.85	220.51	-182.80	-32.57		 -56.88	-1.40	176.94
1.34	0.16	-9.87	4.71	7.30	-0.52	220.51	-206.91	2.96		 -56.84	-5.86	178.85
0.69	0.06	-9.51	5.25	-7.78	-1.66	255.72	-224.99	-13.32		 -56.45	-2.82	179.57
-0.83	0.09	-10.00	-11.80	-10.60	-12.06	261.28	-210.92	-17.77		 -52.00	-1.44	179.70
1.05	0.20	-10.11	-3.58	5.62	-4.53	226.07	-196.86	-25.17		 -53.94	-6.17	179.66
0.27	0.71	-9.78	-1.49	-11.55	-3.07	224.22	-194.85	-11.84		 -54.41	-0.77	176.54
-0.96	0.09	-10.23	-6.45	-1.39	-4.22	227.92	-206.91	-23.69		 -54.23	-0.87	178.16
0.88	0.14	-10.07	4.31	1.87	-0.95	224.22	-198.87	-38.49		 -56.81	-4.14	178.46
0.81	0.54	-9.20	5.11	3.09	14.43	218.66	-212.93	-42.94		 -59.21	-4.00	176.87
1.80	0.18	-10.17	6.82	1.28	0.91	235.34	-198.87	-26.65		 -55.95	-7.19	177.21
0.86	-0.04	-9.50	1.20	-3.48	-2.85	222.36	-216.95	-31.09		 -57.12	-1.45	-179.81
0.25	0.30	-11.18	0.14	-2.29	-0.07	216.81	-194.85	-32.57		 -56.99	-4.70	178.10
0.88	0.41	-9.55	-3.06	-3.17	-1.88	220.51	-214.94	-20.73		 -57.30	-4.03	177.84
-0.10	-0.10	-11.19	-9.45	-5.06	-4.14	226.07	-204.90	-25.17		 -57.37	-5.70	178.36
1.32	0.31	-10.21	2.17	-6.29	3.65	211.25	-220.97	-13.32		 -60.56	-6.05	179.21
1.10	0.59	-10.81	-10.77	-9.74	-4.76	196.42	-192.84	-60.70		 -59.01	-6.79	176.59
0.84	0.56	-9.43	-2.56	-10.35	-6.86	190.86	-178.78	-59.22		 -57.89	-3.73	177.74
0.63	0.58	-10.18	14.05	26.65	11.41	187.16	-154.68	-79.95		 -55.37	-5.49	176.86
0.33	-0.03	-10.23	-5.78	-10.71	-4.69	174.19	-176.77	-99.20		 -61.75	-3.02	-179.57
0.81	0.21	-9.64	2.30	-1.73	-0.18	148.24	-192.84	-114.00		 -68.48	-3.62	178.14
0.98	0.02	-9.85	1.79	1.41	1.24	164.92	-194.85	-115.48		 -68.00	-5.25	179.56
0.88	0.07	-9.94	0.63	-3.17	-0.87	146.39	-190.84	-130.29		 -66.97	-4.60	179.60
