-0.26	0.06	-0.97	0.11	0.00	-0.04	0.19	-0.52	0.58	-84.79	165.62	-165.19
-0.26	0.06	-0.97	0.10	-0.03	-0.02	0.21	-0.52	0.59	-84.78	165.59	-165.16
-0.28	0.06	-1.03	0.06	-0.03	-0.02	0.21	-0.52	0.59	-84.78	165.55	-165.13
-0.27	0.05	-1.01	0.04	0.09	0.01	0.20	-0.52	0.62	-84.81	165.64	-165.22
-0.27	0.05	-1.01	0.08	0.10	-0.01	0.20	-0.52	0.62	-84.81	165.73	-165.32
-0.27	0.05	-0.98	0.17	0.07	-0.05	0.20	-0.52	0.61	-84.79	165.75	-165.35
-0.26	0.04	-0.98	0.09	0.04	-0.02	0.20	-0.52	0.61	-84.79	165.77	-165.38
-0.26	0.04	-0.98	0.12	0.03	-0.02	0.20	-0.51	0.59	-84.77	165.77	-165.39
-0.27	0.03	-1.02	0.06	0.07	0.02	0.20	-0.51	0.59	-84.77	165.82	-165.44
-0.26	0.03	-1.00	0.05	0.10	0.01	0.20	-0.53	0.59	-84.78	165.91	-165.54
-0.26	0.03	-1.00	0.06	0.12	0.00	0.20	-0.53	0.59	-84.78	165.99	-165.63
-0.24	0.04	-0.98	0.04	0.10	-0.01	0.21	-0.51	0.60	-84.77	166.09	-165.73
-0.23	0.04	-0.98	-0.02	0.07	-0.02	0.21	-0.51	0.60	-84.75	166.19	-165.83
-0.23	0.04	-0.98	-0.03	0.04	-0.04	0.21	-0.53	0.60	-84.72	166.27	-165.91
-0.23	0.04	-0.98	-0.09	0.03	-0.05	0.21	-0.53	0.60	-84.68	166.35	-165.98
-0.23	0.04	-0.99	-0.11	0.01	-0.06	0.19	-0.52	0.58	-84.64	166.42	-166.04
-0.23	0.04	-0.99	-0.08	-0.03	-0.06	0.19	-0.52	0.58	-84.61	166.46	-166.07
-0.24	0.04	-1.00	-0.09	-0.01	-0.05	0.19	-0.50	0.58	-84.58	166.49	-166.10
-0.24	0.04	-0.99	-0.07	0.01	-0.05	0.19	-0.50	0.58	-84.53	166.54	-166.14
-0.24	0.04	-0.99	-0.12	-0.02	-0.03	0.20	-0.51	0.61	-84.51	166.56	-166.15
-0.25	0.06	-1.00	-0.14	-0.05	-0.01	0.20	-0.51	0.61	-84.52	166.55	-166.12
-0.24	0.05	-0.99	-0.15	-0.04	-0.03	0.19	-0.53	0.59	-84.51	166.56	-166.13
-0.24	0.05	-0.99	-0.18	-0.04	-0.02	0.19	-0.53	0.59	-84.52	166.58	-166.13
-0.25	0.05	-1.01	-0.19	-0.02	-0.00	0.20	-0.52	0.58	-84.51	166.59	-166.13
-0.24	0.06	-0.99	-0.18	-0.00	0.02	0.20	-0.52	0.60	-84.53	166.62	-166.14
-0.24	0.06	-0.99	-0.15	-0.02	0.00	0.20	-0.53	0.60	-84.55	166.64	-166.14
-0.22	0.06	-1.00	-0.14	0.00	-0.01	0.20	-0.54	0.59	-84.54	166.72	-166.21
-0.23	0.08	-0.97	-0.11	-0.01	-0.04	0.19	-0.54	0.59	-84.53	166.76	-166.23
-0.23	0.08	-0.97	-0.06	-0.05	-0.05	0.20	-0.54	0.58	-84.51	166.74	-166.21
-0.24	0.07	-1.02	0.02	-0.06	-0.07	0.20	-0.54	0.58	-84.47	166.74	-166.20
-0.24	0.07	-1.03	0.03	0.03	-0.06	0.20	-0.52	0.60	-84.43	166.81	-166.27
-0.24	0.07	-1.03	0.01	0.06	-0.07	0.20	-0.52	0.60	-84.37	166.90	-166.36
-0.23	0.08	-0.98	0.07	0.03	-0.08	0.18	-0.53	0.57	-84.34	166.98	-166.44
-0.21	0.07	-0.97	0.11	0.00	-0.09	0.18	-0.53	0.57	-84.31	167.05	-166.51
