1	0.66	-0.52	-0.44	0.77	-1.09	9.7	257.39
2	0.72	-0.68	-0.54	0.76	-1.07	9.81	256.93
3	0.5	-1.51	-0.66	0.79	-1.04	9.71	257.15
4	0.46	-1.09	-0.52	0.8	-1.03	9.78	256.99
5	0.36	-0.94	-0.29	0.77	-1.07	9.79	257.58
6	0.5	-1.2	-0.72	0.78	-1.04	9.77	257.05
7	0.55	-1.37	-0.44	0.78	-1.02	9.73	256.33
8	0.76	-1.35	-0.67	0.76	-1.08	9.8	257.28
9	0.51	-1.19	-0.36	0.76	-1.02	9.76	256.77
10	0.31	-1.85	-0.45	0.78	-1.06	9.7	257.81
11	0.26	-1.23	-0.4	0.8	-1.07	9.75	256.52
12	0.3	-1.02	-0.72	0.76	-1.04	9.78	257.69
13	0.49	-1.48	-0.78	0.79	-1.04	9.7	257.15
14	0.47	-2.07	-0.84	0.78	-1.04	9.72	257.52
15	0.33	-1.23	-0.66	0.76	-1.03	9.72	257.75
16	0.75	-2.58	-1.41	0.73	-1.03	9.71	257.14
17	0.32	-3.44	-0.97	0.86	-1.07	9.73	257.21
18	0.2	-2.3	-0.8	0.87	-1.06	9.85	257.23
19	0.74	0.28	-0.5	0.84	-1.03	9.71	257.63
20	0.69	-0.57	-0.5	0.76	-1.07	9.76	257.61
21	0.67	-1.44	-0.84	0.82	-1.09	9.73	257.32
22	0.96	-1.37	-0.54	0.82	-1.08	9.77	257.08
23	0.95	-1.29	-0.95	0.8	-1.05	9.84	257.66
24	0.94	-1.08	-0.6	0.78	-1.09	9.77	257.31
25	1.59	-2.29	-0.82	0.82	-1.08	9.9	257.1
26	2.84	-4.1	-0.62	0.91	-1.09	9.89	257.64
27	4.83	-4.46	-1.23	0.87	-1.18	10.12	257.46
28	7.46	-8.01	-1.58	0.88	-0.84	9.62	257.37
29	5.55	-9.14	-1.66	0.97	-0.99	9.53	256.55
30	5.75	-3.78	-1.15	0.94	-0.66	9.39	257.29
31	7.18	0.89	-2.09	1.25	-1.15	10.03	256.84
32	5.13	-6.67	-0.33	0.65	-0.53	10.23	257.16
33	10.55	-9.21	3.58	0.86	-0.06	10.14	257.14
34	9.27	-7.8	3.26	1.23	0.11	10.1	256.35
35	9.74	-6.38	-0.12	1.18	0.4	10.09	256.47
36	8.78	-0.67	-0.43	1.12	1.15	10.34	256.46
37	13.96	0.52	-1.02	0.71	1.72	10.08	256.85
38	16.65	2.33	3.8	0.69	1.76	10.39	256.64
39	25.16	2.3	6.17	1.13	1.74	10.35	257.44
40	27.86	3.72	2.27	1.22	1.69	10.72	257.35
41	32.67	5.77	-3.97	0.66	2.03	10.99	257.71
42	35.6	11.89	-3.15	0.08	1.63	10.65	257.89
43	38.31	3.52	-1.86	1.07	1.02	9.99	259.12
44	32.76	-1.5	-1.67	1.11	1.13	9.99	259.22
45	32.76	-1.24	-3.44	1.2	1.11	9.51	258.9
46	18.94	-3.48	-13.31	1.17	0.91	9.5	259.11
47	14.8	-1.04	-14.11	0.33	1.54	9.59	259.17
48	20.75	2.96	-7.72	0.67	1.6	9.38	259.8
49	23.62	7.62	-2.76	0.33	1.73	10.14	259.94
50	39.28	8.28	0.03	0.83	1.66	9.13	260.03
51	39.07	7.84	-0.29	0.55	1.26	9.44	260.78
52	38.08	12.92	0.03	0.58	1.79	8.93	260.98
53	40.88	12.08	0.91	0.62	2.03	8.38	261.57
54	34.07	11.15	4.35	0.79	1.68	8.37	261.71
55	27.22	8.29	6.05	1.22	1.74	7.36	261.85
56	15.27	4.59	2.7	1.22	1.57	7.59	262.42
57	4.78	3.6	-3.88	1.06	0.91	7.01	262.06
58	-9.07	-1.65	-5.57	0.89	1.45	7.62	262.36
59	-24.16	-6.92	-5.59	0.16	1.98	8.93	262.34
60	-26.76	-11.74	-3.53	0.69	3.22	9.24	262.02
61	-30.06	-11.66	-0.82	-0.45	4.06	10.19	261.9
62	-21.55	-1.83	12.4	-0.07	3.73	9.55	261.63
63	-17.87	-7.67	18.09	1.16	3.37	9.79	261.25
64	-20.8	-5.12	10.75	1.01	2.96	9.38	260.64
65	-29.65	6.78	0.76	0.82	2.21	9.61	261.23
66	-34.83	-3.58	-3.31	0.56	1.92	9.69	260.57
67	-53.8	4.28	3.91	-0.2	3.23	8.07	260.4
